Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;Abgabe
1;19370101;19860630;478;   47.8413;   8.8493; Aach; Baden-Württemberg;  Frei
3;18910101;20110331;202;   50.7827;   6.0941; Aachen; Nordrhein-Westfalen;  Frei
11;19800901;20250619;680;   47.9736;   8.5205; Donaueschingen (Landeplatz); Baden-Württemberg;  Frei
44;19690101;20250619;44;   52.9336;   8.2370; Großenkneten; Niedersachsen;  Frei
52;19690101;20011231;46;   53.6623;  10.1990; Ahrensburg-Wulfsdorf; Schleswig-Holstein;  Frei
61;19750701;19780831;339;   48.8443;  12.6171; Aiterhofen; Bayern;  Frei
70;19730601;19860930;712;   48.2052;   9.0371; Albstadt-Ebingen; Baden-Württemberg;  Frei
71;19861101;20191231;759;   48.2156;   8.9784; Albstadt-Badkap; Baden-Württemberg;  Frei
72;19780901;19950531;794;   48.2766;   9.0001; Albstadt-Onstmettingen; Baden-Württemberg;  Frei
73;19590301;20250619;374;   48.6183;  13.0620; Aldersbach-Kramersepp; Bayern;  Frei
78;19610101;20250619;64;   52.4853;   7.9125; Alfhausen; Niedersachsen;  Frei
90;19880219;20250619;305;   50.7557;   9.2583; Alsfeld; Hessen;  Frei
91;19781101;20250619;304;   50.7446;   9.3450; Alsfeld-Eifa; Hessen;  Frei
93;19771201;19781031;269;   50.7691;   9.2542; Alsfeld-Reibertenrod; Hessen;  Frei
96;20190409;20250619;50;   52.9437;  12.8518; Neuruppin-Alt Ruppin; Brandenburg;  Frei
98;18870215;19541231;780;   51.1890;   8.4671; Altastenberg; Nordrhein-Westfalen;  Frei
102;19980101;20250619;0;   53.8633;   8.1275; Leuchtturm Alte Weser; Niedersachsen;  Frei
106;19710101;20061201;500;   51.7976;  10.4429; Altenau; Niedersachsen;
116;18990601;19730531;213;   50.9833;  12.4333; Altenburg; Thüringen;  Frei
125;19740301;20250619;739;   47.8342;  10.8667; Altenstadt; Bayern;  Frei
126;19791101;20101130;330;   49.5447;  10.2213; Uffenheim (Schulstr.); Bayern;  Frei
129;19910101;20061231;30;   53.6893;  13.2420; Altentreptow; Mecklenburg-Vorpommern;  Frei
131;20041101;20250619;296;   51.0881;  12.9326; Geringswalde-Altgeringswalde; Sachsen;  Frei
132;19531211;19870930;750;   49.7725;  12.3891; Altglashütte; Bayern;  Frei
142;19550101;20250619;511;   48.4060;  11.3117; Altomünster-Maisbrunn; Bayern;  Frei
150;19510101;20250619;215;   49.7273;   8.1164; Alzey; Rheinland-Pfalz;  Frei
151;19470101;20250619;382;   49.4691;  11.8546; Amberg-Unterammersricht; Bayern;  Frei
154;19940101;20250619;516;   48.0197;  12.2925; Amerang-Pfaffing; Bayern;  Frei
161;19801201;20250619;75;   50.4237;   7.4202; Andernach; Rheinland-Pfalz;  Frei
164;19080517;20250619;54;   53.0316;  13.9908; Angermünde; Brandenburg;  Frei
167;20040901;20250619;11;   53.8409;  13.6854; Anklam; Mecklenburg-Vorpommern;  Frei
169;19470101;19661231;630;   50.5730;  13.0053; Annaberg-Buchholz; Sachsen;  Frei
172;19690501;19911130;395;   52.2486;   9.5056; Annaturm; Niedersachsen;  Frei
174;19840301;19871231;250;   49.1886;   7.9766; Annweiler-Bindersbach; Rheinland-Pfalz;  Frei
175;19520101;19760430;413;   49.2964;  10.5751; Ansbach; Bayern;  Frei
176;19760601;19951130;481;   49.2475;  10.5826; Ansbach-Claffheim; Bayern;
177;19470501;19571031;418;   49.3158;  10.5815; Ansbach-Hennenbach; Bayern;  Frei
181;19991101;20081102;30;   52.8761;  11.5042; Arendsee; Sachsen-Anhalt;  Frei
183;19470101;20250619;42;   54.6791;  13.4344; Arkona; Mecklenburg-Vorpommern;  Frei
184;19470101;19660630;55;   52.6769;  12.0077; Arneburg; Sachsen-Anhalt;  Frei
185;19460101;19571231;3;   54.6289;   9.9294; Arnis; Schleswig-Holstein;  Frei
186;18800101;19980930;218;   51.3773;   8.0713; Arnsberg; Nordrhein-Westfalen;  Frei
191;19860401;20250619;217;   49.9694;   9.9114; Arnstein-Müdesheim; Bayern;  Frei
193;19680101;19971031;232;   51.3845;   9.0820; Arolsen-Neu Berich; Hessen;  Frei
197;19900801;20250619;365;   51.3219;   9.0558; Arolsen-Volkhardinghausen, Bad; Hessen;  Frei
198;19540101;20250619;164;   51.3744;  11.2920; Artern; Thüringen;  Frei
202;19470101;19511231;111;   49.9771;   9.1091; Aschaffenburg; Bayern;  Frei
207;19470101;19641231;105;   51.7498;  11.4667; Aschersleben; Sachsen-Anhalt;  Frei
211;19810901;19991231;200;   50.5800;   8.4685; Aßlar Klein-Altenstädten; Hessen;  Frei
217;19410101;20250619;670;   47.8774;  11.3643; Attenkam; Bayern;  Frei
221;19850801;19900531;483;   48.5515;  11.7117; Au i.d.Hallertau-Günzenhausen; Bayern;  Frei
222;19770101;20250619;393;   50.5908;  12.7139; Aue; Sachsen;  Frei
231;18790101;19740430;490;   48.3723;  10.8948; Augsburg (Sankt Stephan); Bayern;  Frei
232;19470101;20250619;462;   48.4253;  10.9417; Augsburg; Bayern;  Frei
243;19580901;20061231;4;   53.4621;   7.4670; Aurich; Niedersachsen;  Frei
257;19490101;20250619;240;   48.7270;   8.2457; Baden-Baden-Geroldsau; Baden-Württemberg;  Frei
259;19470101;20250619;275;   47.8064;   7.6387; Müllheim; Baden-Württemberg;  Frei
268;19540101;20081231;622;   48.5293;   8.2727; Baiersbronn-Obertal; Baden-Württemberg;  Frei
273;19861201;19900430;467;   47.8413;   9.6606; Baindt; Baden-Württemberg;  Frei
282;19490101;20250619;240;   49.8743;  10.9206; Bamberg; Bayern;  Frei
283;19480101;19591231;382;   49.8808;  10.8695; Bamberg-Altenburg; Bayern;  Frei
284;18790101;19581231;282;   49.8800;  10.8800; Bamberg (Sternwarte); Bayern;  Frei
288;19910101;19980831;3;   53.8409;  13.7549; Bargischow-Gnevezin; Mecklenburg-Vorpommern;  Frei
294;19920201;20250619;110;   52.3199;   9.4300; Barsinghausen-Hohenbostel; Niedersachsen;  Frei
298;19470101;20250619;3;   54.3405;  12.7108; Barth; Mecklenburg-Vorpommern;  Frei
303;19930906;20250619;55;   52.0613;  13.4997; Baruth; Brandenburg;  Frei
314;19360101;20250619;234;   51.1604;  14.5042; Kubschütz, Kr. Bautzen; Sachsen;  Frei
320;18790101;20250619;350;   49.9666;  11.5198; Heinersreuth-Vollhof; Bayern;  Frei
321;19790101;19951031;789;   47.6797;  12.0017; Bayrischzell; Bayern;  Frei
326;20040701;20130708;120;   51.7204;   8.0577; Beckum-Unterberg; Nordrhein-Westfalen;  Frei
327;19620901;19961031;27;   53.6234;   8.8323; Bederkesa; Niedersachsen;  Frei
330;19370101;20250619;455;   49.5617;   8.9673; Oberzent-Beerfelden; Hessen;  Frei
335;19761201;19771031;4;   54.3426;  10.6018; Behrensdorf; Schleswig-Holstein;  Frei
341;19680201;19930131;235;   47.7277;   7.5520; Bellingen, Bad; Baden-Württemberg;
342;20101201;20250619;103;   52.3170;   8.1694; Belm; Niedersachsen;  Frei
348;19891214;20110901;127;   50.4135;   7.5886; Bendorf; Rheinland-Pfalz;  Frei
350;19990601;19991231;540;   51.6715;  10.7268; Benneckenstein; Sachsen-Anhalt;
351;19490301;19880630;502;   51.6926;  10.6978; Oberharz am Brocken-Sorge; Sachsen-Anhalt;  Frei
355;19470101;19891031;140;   49.6789;   8.6276; Bensheim; Hessen;  Frei
361;19480101;19981231;550;   47.6344;  13.0109; Berchtesgaden (KKst); Bayern;  Frei
365;19911001;20020930;421;   49.3311;  11.4303; Berg/Oberpfalz; Bayern;  Frei
368;19730101;20250619;69;   52.8152;   9.9248; Bergen; Niedersachsen;  Frei
377;19470101;20250619;210;   49.1070;   7.9967; Bergzabern, Bad; Rheinland-Pfalz;  Frei
379;19540701;20250619;304;   50.9075;  11.2665; Berka, Bad (Flugplatz); Thüringen;  Frei
386;19730701;19861130;445;   51.0454;   8.3851; Berleburg, Bad; Nordrhein-Westfalen;  Frei
390;19861201;20250619;611;   50.9837;   8.3683; Berleburg, Bad-Stünzel; Nordrhein-Westfalen;  Frei
395;19480701;19531231;38;   52.4167;  13.4833; Berlin-Adlershof; Berlin;  Frei
399;19750101;20150630;36;   52.5198;  13.4057; Berlin-Alexanderplatz; Berlin;  Frei
400;19510101;20250619;60;   52.6310;  13.5021; Berlin-Buch; Berlin;  Frei
402;18760101;19621231;55;   52.4564;  13.2997; Berlin-Dahlem (LFAG); Berlin;  Frei
403;19500101;20250619;51;   52.4537;  13.3017; Berlin-Dahlem (FU); Berlin;  Frei
405;19510401;19541231;37;   52.4500;  13.6500; Berlin-Friedrichshagen; Berlin;  Frei
407;19580101;19780331;48;   52.6461;  13.2858; Berlin-Frohnau; Berlin;  Frei
408;19481201;19511130;35;   52.5333;  13.3833; Berlin-Invalidenstraße; Berlin;  Frei
410;19960601;20200615;33;   52.4040;  13.7309; Berlin-Kaniswall; Berlin;  Frei
416;19820701;19960930;47;   52.4069;  13.4127; Berlin-Lichtenrade; Berlin;  Frei
417;19360101;19561031;43;   52.4144;  13.3036; Berlin-Lichterfelde (Süd); Berlin;  Frei
420;19930501;20250619;61;   52.5447;  13.5598; Berlin-Marzahn; Berlin;  Frei
422;19560101;19641231;35;   52.5333;  13.3833; Berlin-Mitte; Berlin;  Frei
424;19540101;19801231;36;   52.5000;  13.4667; Berlin-Ostkreuz; Berlin;  Frei
425;19590101;19820630;38;   52.4044;  13.4838; Berlin-Rudow; Berlin;  Frei
427;19570101;20250619;46;   52.3807;  13.5306; Berlin Brandenburg; Brandenburg;  Frei
429;19861001;19870131;32;   52.5667;  13.1694; Berlin-Spandau; Berlin;  Frei
430;19630101;20210505;36;   52.5644;  13.3088; Berlin-Tegel; Berlin;  Frei
432;19780401;19941231;36;   52.6044;  13.2952; Berlin-Tegeler Fliesstal; Berlin;  Frei
433;19480101;20250619;48;   52.4676;  13.4020; Berlin-Tempelhof; Berlin;  Frei
434;19470101;19601231;35;   52.4553;  13.4699; Berlin-Treptow; Berlin;  Frei
435;19640101;20061231;45;   52.4289;  13.2327; Berlin-Zehlendorf; Berlin;  Frei
